volume,line,text
workset/mdp.39015056477824/mdp.39015056477824.txt,7,"['I', 'Legends from Camp', 'POEMS BY LAWSON FUSAO INADA', '', 'COFFEE HOUSE PRESS :: MINNEAPOLIS :: 1992', 'Copyright ? 1993 by Lawson Fusao Inada.', 'Cover photo of the author with parents in Jerome Camp, Arkansas, c. 1943:', ""photographer unknown. Camp photo c. 1944 by the author's uncle, Corporal"", ""Tom Saito, visiting on furlough. Fresno fish market photo of the author's"", 'uncle, Minoru Saito and Marcus Doi, c. 1939: photographer unknown. Photo', 'of author with Mai Waldron: by Helga Motley. Oregon photo by Helga Mot-', 'ley. Performance photo by Hasato Baba. Back cover photo by Bill McClain.', 'The author wishes to thank the editors of the following magazines and news-', 'papers where many of these poems first appeared: Caliban, Chelsea, Fireweed,', 'The Greenfield Review, International Examiner, Northwest Review, Open', 'Places, Oregon English, Oregon Humanities, Pacific Citizen, Painted Hills Re-', 'view, and The Seattle Review,', 'The author wishes to thank the editors of the following anthologies where the', 'following poems appeared: ""My Father and Myself Facing the Sun"" in United', 'States in Literature; ""Poems in Stone"" in Turning Shadows into Light; ""On', 'Being Asian American"" and ""In/Vocation"" in The Big Aiiieeeee!; ""Turning it', 'Over"" in Ergo!; ""John Coltrane"" in An Ear to the Ground; ""The Discovery of', 'Tradition"" in The Big Aiiieeeee! and Leaving the Bough; ""Concentration Con-', 'stellation"" in The Big Aiiieeeee! and Multiethnic Literature of the United States:', 'Critical Introductions and Classroom Resources, and ""At the Stronghold"" in']"
workset/mdp.39015029851543/mdp.39015029851543.txt,11,"['', 'COFFEE HOUSE PRESS : : MINNEAPOLIS', '1992', '0?6', 'passer', 'Copyright ? 1992 by Anne Panning', 'Cover illustration by Marie Olaf sdottir', 'Author photograph by Dennis Nelson', 'The publisher thanks Jerome Foundation; Minnesota State Arts', 'Board; the National Endowment for the Arts, a federal agency; and', 'Northwest Area Foundation for their support of this project.', 'Coffee House Press books are available to stores through our pri-', 'mary distributor, Consortium Book Sales & Distribution, 287 East', 'Sixth Street, Suite 365, Saint Paul, Minnesota 55101. Our books are', 'also available through all major library distributors and jobbers,', 'and through most small press distributors including Bookpeople,', 'Bookslinger, Inland and Small Press Distribution.', 'For personal orders, catalogs or other information, write to:', 'Coffee House Press, 27 N. Fourth St., Minneapolis m n 55401', 'Library of Congress cataloging-in-publication data', 'Panning, Anne. 1966-', 'The price of eggs / stories by Anne Panning', 'p. cm.', 'isbn 0-918273-95-1: $11.95', 'I Title.']"
workset/uc1.b4411753/uc1.b4411753.txt,42,"['The publisher thanks the following organizations whose support', 'helped make this book possible: Elmer L. and Eleanor J. Andersen Foun-', 'dation; The Bush Foundation; Dayton Hudson Foundation; Jerome', 'Foundation; Minnesota State Arts Board; the National Endowment for', 'the Arts, a federal agency; and Northwest Area Foundation.', 'Copyright ? 1991 by George Evans.', 'Back cover photograph by Michelle Vignes.', 'Cover design by Gail Grant.', 'Library of Congress Cataloging-in-Publication Data', 'Evans, George, 1948-', 'Sudden dreams : new & selected poems / by George Evans.', 'p. cm.', 'ISBN 0-918273-86-2 : $8.95', '1. Title.', 'PS3555.V216558 1991', '91-I0107', ""811'.54-dc20"", 'CIP', 'PS', '3555', 'Vale', 'S8', '1991', 'Contents', 'Saturday Towards Evening']"
workset/mdp.39015019656456/mdp.39015019656456.txt,44,"['C OF FE E HOUSE PRESS :: M IN N E A POLIS :: 1990', '223', 'P/2 ////', '1740', '?r', 'Text copyright c 1990 by Ron Padgett.', 'Cover illustration copyright c 1990 by Trevor Winkfield, courtesy of', 'Edward Thorp Gallery, New York.', 'Back cover photo by George Tysh.', 'The publisher thanks the following organizations for their support of', 'this book: Dayton Hudson Foundation; Cowles Media/Star Tribune;', 'Northwest Area Foundation; and United Arts.', 'Coffee House Press books are distributed to trade by CoNsortium', 'Book SALES AND Distribution, 287 East Sixth Street, Suite 365, Saint', 'Paul, Minnesota 55101. Our books are also available through all major', 'library distributors and jobbers, and through most small press dis-', 'tributors, including Bookpeople, Bookslinger, Inland, Pacific Pipe-', 'line, and Small Press Distribution. For personal orders, catalogs or', 'other information, write to:', 'COFFEE HOUSE PRESS', '27 North Fourth Street, Suite 4oo, MINNEApolis, MN 55401.', 'Library of Congress Cataloging in Publication Data', 'Padgett, Ron', 'Great balls of fire / Ron Padgett. ? Rev. ed., rev., 2nd ed.', 'p. cm.']"
workset/mdp.39015019656456/mdp.39015019656456.txt,45,"['223', 'P/2 ////', '1740', '?r', 'Text copyright c 1990 by Ron Padgett.', 'Cover illustration copyright c 1990 by Trevor Winkfield, courtesy of', 'Edward Thorp Gallery, New York.', 'Back cover photo by George Tysh.', 'The publisher thanks the following organizations for their support of', 'this book: Dayton Hudson Foundation; Cowles Media/Star Tribune;', 'Northwest Area Foundation; and United Arts.', 'Coffee House Press books are distributed to trade by CoNsortium', 'Book SALES AND Distribution, 287 East Sixth Street, Suite 365, Saint', 'Paul, Minnesota 55101. Our books are also available through all major', 'library distributors and jobbers, and through most small press dis-', 'tributors, including Bookpeople, Bookslinger, Inland, Pacific Pipe-', 'line, and Small Press Distribution. For personal orders, catalogs or', 'other information, write to:', 'COFFEE HOUSE PRESS', '27 North Fourth Street, Suite 4oo, MINNEApolis, MN 55401.', 'Library of Congress Cataloging in Publication Data', 'Padgett, Ron', 'Great balls of fire / Ron Padgett. ? Rev. ed., rev., 2nd ed.', 'p. cm.', 'isBN o-918273-80-3: $8.95']"
workset/uc1.b4495447/uc1.b4495447.txt,11,"['Why We Live with Animals', 'POEMS BY ALVIN GREENBERG', '', 'COFFEE HOUSE PRESS :: MINNEAPOLIS :: I99O', '~v. ""r Scnta Cruz 1990', 'Text copyright ? 1990 by Alvin Greenberg', 'Cover and interior wood engravings by Gaylord Schanilec', 'Back cover photo by Greg Helgeson', 'The publisher thanks the following organizations whose sup-', 'port helped make this book possible: The National Endowment', 'for the Arts, a federal agency; Dayton Hudson Foundation;', 'Cowles Media/Star Tribune; Northwest Area Foundation, and', 'United Arts. Coffee House also thanks Jeffrey Scherer for a dona-', 'tion for this book made on behalf of Lea Babcock.', 'Coffee House Press books are distributed to trade by Consor-', 'tium Book Sales and Distribution, 287 East Sixth Street, Suite', '365, Saint Paul, Minnesota 55101. Our books are also available', 'through all major library distributors and jobbers, and through', 'most small press distributors, including Bookpeople, Book-', 'slinger, Inland, Pacific Pipeline, and Small Press Distribution.', 'For personal orders, catalogs or other information, write to:', 'Coffee House Press', '27 North Fourth Street, Suite 400, Minneapolis, Mn 55401.', 'Library of Congress Cataloging in Publication Data', 'Greenberg, Alvin.']"
workset/mdp.39015029935874/mdp.39015029935874.txt,14,"['How To Leave', 'a Country', 'A NOVEL BY CRIS MAZZA', 'COFFEE HOUSE PRESS :: MINNEAPOLIS :: 1992', 'M4768 hn', 'Copyright ? 1992 by Cris Mazza.', 'Cover photograph by Susan Hicks Bryant.', 'Back cover photograph by Becky Hall.', 'Portions of this book first appeared in Animal Acts (Fiction', 'Collective), Cream City Review, Kansas Quarterly, Karamu and', 'Lullwater Review.', 'The publisher thanks Jerome Foundation; Minnesota State Arts', 'Board; the National Endowment for the Arts, a federal agency;', 'and Northwest Area Foundation for support of this project.', 'Coffee House Press books are available to bookstores through our', 'primary distributor, Consortium Book Sales & Distribution Inc.,', '287 East Sixth Street, Suite 365, Saint Paul, Minnesota 55101. Our', 'books are also available through all major library distributors and', 'jobbers, and through most small press distributors, including', 'Bookpeople, Bookslinger, Inland, and Small Press Distribution.', 'For personal orders, catalogs, or other information, write to:', 'COFFEE HOUSE PRESS', '27 North Fourth Street, Suite 400, Minneapolis MN 55401', 'Library of Congress cataloging-in-publication data', 'Mazza, Cris.']"
workset/mdp.39015024896741/mdp.39015024896741.txt,20,"[""The Lion's Share"", 'A NOVEL BY ROCHELLE RATNER', 'COFFEE HOUSE PRESS :: MINNEAPOLIS::1991', '828', 'R237li', 'Copyright ? 1991 by Rochelle Ratner.', 'Back cover photograph by Mellon.', 'Cover illustration by Susan Nees.', 'Author acknowledgements: This novel would not have been possible with-', 'out the generosity of numerous friends who offered editorial advice and en-', 'couragement, and who freely shared their knowledge of the New York City', ""art world and corporate support of the arts. In particular, I'd like to thank"", 'Elizabeth Cook, Maurice Kenny, Allan Kornblum, Elizabeth Marraffino,', 'Susan Mernit, Paul Pines, Corinne Robins and Bernie Solomon.', 'The publisher thanks the following organizations whose support helped', 'make this book possible: Elmer L. and Eleanor J. Andersen Foundation;', 'The Bush Foundation; Dayton Hudson Foundation; Jerome Foundation;', 'Minnesota State Arts Board; the National Endowment for the Arts, a fed-', 'eral agency; and Northwest Area Foundation.', 'Coffee House Press books are distributed to the trade by Consortium Book', 'Sales & Distribution, 287 E. Sixth St., Suite 365, St. Paul, Minnesota 55101.', 'Our books are available through all major library distributors and jobbers,', 'and through most small press distributors, including Bookpeople, Book-', 'slinger, Inland, Pacific Pipeline, and Small Press Distribution. For personal', 'orders, catalogs, or other information, write to:']"
workset/mdp.39015034229552/mdp.39015034229552.txt,13,"['HAPPINESS', 'POEMS BY DEBORAH KEENAN', 'COFFEE HOUSE PRESS :: MINNEAPOLIS', '828', 'K2688 ha', 'Copyright ? 1995 by Deborah Keenan', 'Book design and cover art by Leslie Ross', 'Back cover photograph by Tim Francisco', 'The author gratefully acknowledges the following journals and magazines', 'where many of these poems, some in slightly different versions, first ap-', 'peared. ?Open Hands,? ?The City,? and ?What It Was Like Today? first ap-', 'peared in Caliban; ?Lilacs and Hail,? ?What Drives Us,? ?Nothing to Eat,? and', '""Architecture? first appeared in Shenandoah; ?Stigmata? first appeared in', 'Painted Bride Quarterly; ?Loving Motels,? ?Burning,? and ?Wrong"" first ap-', 'peared in Minnesota Monthly; ?Comfort? first appeared in Kentucky Poetry Review;', '?Mothers? and ?The Autobiography of Clothes? first appeared in Great River', 'Review; ?The Snow Woman,? ?Small History,? ?Against the Good,? ?Fox,?', '?Marriage,? ?To Live Without,? ?Rogue Wave,? and ?White Mittens? first', 'appeared in the Santa Monica Review.', 'The publisher would like to thank the following funders for assistance that', 'helped make this book possible: The Andrew W. Mellon Foundation; The', 'McKnight Foundation; the National Endowment for the Arts, a federal', 'agency; the Jerome Foundation; the Lannan Foundation; Dayton Hudson', ""Foundation on behalf of Dayton's and Target Stores; the General Mills"", 'Foundation; The St. Paul Companies; the Star Tribune Cowles Media']"
workset/mdp.39015028896135/mdp.39015028896135.txt,15,"['POEMS BY TO BY OLSON', 'COFFEE HOUSE PRESS :: MINNEAPOLIS :: 1993', 'grad', '828', '049 un', 'Copyright ? 1993 by Toby Olson', 'Cover art by Leslie Ross', 'Back cover photograph by Robert A. Lisak', 'Of the poems in this volume, the following have been published in limited', 'editions: ?Patterns? appeared as ?Messing Around With Patterns: English &', 'American? in the Perishable Press book Doctor Miriam; ?Gulls,? ?Faces,?', '?Moot,? and ?Some Small Movements? are from the Perishable Press book', 'Birdsongs; ?Gulls? also appeared in the Membrane Press book Home.', '?Faces? and ?Moot,? together with two other Birdsongs, have been set for', 'voice and piano by the composer Paul Epstein and first performed in 1988 in', 'Philadelphia.', 'Some of the poems here appeared (at times in slightly different versions) in', 'the following magazines, to which grateful acknowledgment is made: Anima,', 'Atlantic Review, Boundary 2, Conjunctions, The Friendly Local Press, Gegen-', 'schein Quarterly, Mulch, New Directions in Prose and Poetry, New Letters, Ninth', 'Decade (London), #, Occurrence, The Paris Review, and Temblor.', 'The publishers would like to thank the following funders for assistance which', 'helped make this book possible: the Bush Foundation; the Dayton Hudson', ""Foundation on behalf of Dayton's and Target Stores; The General Mills"", 'Foundation; The Lannan Foundation; The McKnight Foundation; The An-']"
workset/mdp.39015033319032/mdp.39015033319032.txt,12,"['ATOMIC GHOST', 'POETS RESPOND TO THE NUCLEAR AGE', 'EDITED BY JOHN BRADLEY', 'Introduction by Terry Tempest Williams', 'COFFEE HOUSE PRESS :: MINNEAPOLIS "" MCMXCV', 'This anthology as a collection is copyrighted in 1995 ? by Coffee House Press.', 'All rights to the individual works continue to be held by the authors of each', 'work. Acknowledgments of the publishers and authors of the works pub-', 'lished in this book appear at the end of the book, following the text, and shall', 'constitute a continuation of this ackowledgments page.', 'Cover photograph number 91328, and interior photographs on pages 116,184,', '282, and 296 used by permission of Los Alamos National Laboratory. Thanks', 'to Carol Ahlgren for her photographic research. Thanks to Will Powers for', 'supplying us with ""Reactor"" type for the title on the cover of this book.', 'The publishers would like to thank the following funders for assistance', 'which helped make this book possible: Dayton Hudson Foundation on be-', ""half of Dayton's and Target Stores; General Mills Foundation; the Honeywell"", 'Foundation; the Jerome Foundation; the Lannan Foundation; The', 'McKnight Foundation; The Andrew W. Mellon Foundation; the National', 'Endowment for the Arts, a federal agency; The Beverly J. and John A.', 'Rollwagen Fund of The Minneapolis Foundation; The St. Paul Companies;', 'and Star Tribune/Cowles Media Foundation. This activity is made possible in', 'part by a grant provided by the Minnesota State Arts Board, through an ap-', 'propriation by the Minnesota State Legislature.', 'Coffee House Press books are available to the trade through our primary dis-']"
workset/mdp.39015034861321/mdp.39015034861321.txt,21,"['Ex UTERO', 'Laurie Foos', 'COFFEE HOUSE PRESS :: MINNEAPOLIS', '828', 'F 682 ex', 'Copyright ? 1995 by Laurie Foos', 'Cover art by Mary Lynn Blasutta', 'Photograph of the author by Kevin Vickers', 'Book design by Jensen & Wilcoxen Inc.', 'The publisher would like to thank the following funders for assistance that', 'helped make this book possible: The Jerome Foundation; The Lannan Foun-', 'dation; The Andrew W. Mellon Foundation; and The McKnight Founda-', 'tion. This activity is made possible in part by a grant provided by the Minne-', 'sota State Arts Board, through an appropriation by the Minnesota State Leg-', 'islature.', 'Coffee House Press books are available to the trade through our primary', 'distributor, Consortium Book Sales & Distribution, 1045 Westgate Drive,', 'Saint Paul, MN 55114. Our books are also available through all major library', 'distributors and jobbers, and through most small press distributors, including', 'Bookpeople, Inland, and Small Press Distribution. For personal orders, cata-', 'logs or other information, write to:', 'Coffee House Press', '27 North Fourth Street, Suite 400, Minneapolis, MN 55401', 'Library of Congress cip Data', 'Foos, Laurie, 1966-']"
workset/mdp.39015021863355/mdp.39015021863355.txt,8,"['', '', 'NEW POEMS BY ANDREI CODRESCU', '', 'COFFEE HOUSE PRESS : : MINNEAPOLIS : : 1991', 'Copyright ? 1991 by Andrei Codrescu.', 'Cover illustration by Francesco Clemente.', 'Back cover photo by David Rinehart.', 'The publisher thanks the following organizations whose support', 'helped make this book possible: The Bush Foundation; Minnesota', 'State Arts Board; National Endowment for the Arts, a federal', 'agency; Northwest Area Foundation; and Star Tribune/Cowles', 'Media Company.', 'Many of the poems in this edition appeared previously in literary', 'magazines and reviews. For a complete listing, see page 80.', 'Coffee House Press books are available to bookstores through our', 'primary distributor, Consortium Book Sales & Distribution, 287', 'East Sixth St., Suite 365, St. Paul, Minnesota 55101. Our books are', 'also available through all major library distributors, and through', 'most small press distributors, including Bookpeople, Bookslinger,', 'Inland, Pacific Pipeline, and Small Press Distribution.For personal', 'orders, catalogs, or other information, write to:', 'Coffee House Press', '27 North Fourth St., Suite 400, Minneapolis, Minnesota 55401', 'Codrescu. Andrei, 1946-']"
workset/mdp.39015021548972/mdp.39015021548972.txt,18,"['Greensboro Review; ?Visqueen Winter,? Green Mountains Review; ?The', 'Bucket of Mice,? Alaska Quarterly Review; ?Waiting for the Thaw,?', 'Ploughshares; ""Nature Lessons,? Sonora Review; ?Why I Live at the Natural', 'History Museum,? Other Voices; ?Snowblind? and ?Small Potatoes,? Pas-', 'sages North.', 'Text copyright ? 1991 by Nancy Lord.', 'Cover illustration by Joy Baleisis.', 'Back cover photo by Hal Spence.', 'The publisher thanks the following organizations whose support helped', 'make this book possible: Elmer L. and Eleanor J. Andersen Foundation;', 'The Bush Foundation; Dayton Hudson Foundation; Honeywell Foun-', 'dation; Jerome Foundation; Minnesota State Arts Board; Northwest', 'Area Foundation; Pentair, Inc.; and the National Endowment for the', 'Arts, a federal agency.', 'Coffee House Press books are distributed to the trade by Consortium Book', 'Sales and Distribution, 287 East Sixth Street, Suite 365, Saint Paul, Minne-', 'sota ss101. Our books are also available through all major library distribu-', 'tors and jobbers, and through most small press distributors, including', 'Bookpeople, Bookslinger, Pacific Pipeline, Inland, and Small Press Distri-', 'bution. For personal orders, catalogs or other information, write to:', 'COFFEE HOUSE PRESS', '27 North Fourth Street, Suite 400, Minneapolis, MN 55401.', 'Library of Congress Cataloging-in-Publication Data', 'Lord, Nancy.', 'Survival.: stories / by Nancy Lord.']"
workset/mdp.39015035021883/mdp.39015035021883.txt,12,"['ANGEL', 'STRINGS', 'A NOVEL BY GARY EBERLE', 'COFFEE HOUSE PRESS :: MINNEAPOLIS', 'eresan', 'Copyright ? 1995 by Gary Eberle', 'Cover art by Jim Dryden', 'Back cover photograph by Bultman Studios', 'Coffee House Press is a non-profit literary arts organization whose', 'operations are supported, in part, by a grant provided by the', 'Minnesota State Arts Board, through an appropriation by the', 'Minnesota State Legislature, and by a grant from the National', 'Endowment for the Arts. Additional support received this past', ""year has been provided by the Lila Wallace-Reader's Digest Fund,"", 'the McKnight Foundation, the Lannan Foundation, the Jerome', ""Foundation, Target Stores, Dayton's and Mervyn's by the Dayton"", 'Hudson Foundation, the General Mills Foundation, the St. Paul', 'Companies, the Honeywell Foundation, the Star Tribune/Cowles', 'Media Company, the Beverly J. and John A. Rollwagen Fund of', 'the Minneapolis Foundation, the Prudential Foundation, a major', 'grant from the Andrew W. Mellon Foundation, and through con-', 'tributions from generous individuals.', 'Coffee House Press books are available to the trade through our', 'primary distributor, Consortium Book Sales & Distribution, 1045', 'Westgate Drive, Saint Paul, MN 55114. For personal orders, catalogs']"
workset/mdp.39015032428420/mdp.39015032428420.txt,10,"['Losing Absalom', 'A NOVEL BY A L E XS D. P A T E', 'COFFEE HOUSE PRESS :: MINNEAPOLIS :: 1994', 'arad', '828', 'Copyright ? 1994 Alexs D. Pate', 'PL143Ln Cover art: Jacob Lawrence. Tombstones. 1942. gouache on paper. sight: 28 34 x 20 h', 'inches. Collection of Whitney Museum of American Art. Purchase 43.14.', 'Back cover photograph by suzanna maria gipsky', 'LUCILLE CLIFTON. ?song?, copyright ? 1987, by Lucille Clifton. Reprinted from', 'GOOD WOMAN: POEMS AND A MEMOIR, 1969-1980, by Lucille Clifton, with the permis-', 'sion of Boa Editions, Ltd., 92 Park Ave., Brockport, Ny 14420.', ""Excerpt from ?Times Are Gettin' Ill? (Rob Ginyard), reprinted with permission,"", '? 1988 Protoons, Inc./Hikim Music/ASCAP.', 'A portion of this book has appeared as a chapbook, Absalom Falls, published by the', 'Minnesota Center for Book Arts, 1993.', 'The publishers would like to thank the Star Tribune/Cowles Media Company', 'and The McKnight Foundation for major grants that helped make this book', 'possible. Additional assistance was also provided by the following funders: Day-', 'ton Hudson Foundation; The Lannan Foundation; and The Andrew W. Mellon', 'Foundation. This activity is made possible in part by a grant provided by the', 'Minnesota State Arts Board, through an appropriation by the Minnesota State', 'Legislature. Major new marketing initiatives have been made possible by the Lila', ""Wallace-Reader's Digest Literary Publishers Marketing Development Program,"", 'funded through a grant to the Council of Literary Magazines and Presses.']"
workset/mdp.39015032428420/mdp.39015032428420.txt,14,"['828', 'Copyright ? 1994 Alexs D. Pate', 'PL143Ln Cover art: Jacob Lawrence. Tombstones. 1942. gouache on paper. sight: 28 34 x 20 h', 'inches. Collection of Whitney Museum of American Art. Purchase 43.14.', 'Back cover photograph by suzanna maria gipsky', 'LUCILLE CLIFTON. ?song?, copyright ? 1987, by Lucille Clifton. Reprinted from', 'GOOD WOMAN: POEMS AND A MEMOIR, 1969-1980, by Lucille Clifton, with the permis-', 'sion of Boa Editions, Ltd., 92 Park Ave., Brockport, Ny 14420.', ""Excerpt from ?Times Are Gettin' Ill? (Rob Ginyard), reprinted with permission,"", '? 1988 Protoons, Inc./Hikim Music/ASCAP.', 'A portion of this book has appeared as a chapbook, Absalom Falls, published by the', 'Minnesota Center for Book Arts, 1993.', 'The publishers would like to thank the Star Tribune/Cowles Media Company', 'and The McKnight Foundation for major grants that helped make this book', 'possible. Additional assistance was also provided by the following funders: Day-', 'ton Hudson Foundation; The Lannan Foundation; and The Andrew W. Mellon', 'Foundation. This activity is made possible in part by a grant provided by the', 'Minnesota State Arts Board, through an appropriation by the Minnesota State', 'Legislature. Major new marketing initiatives have been made possible by the Lila', ""Wallace-Reader's Digest Literary Publishers Marketing Development Program,"", 'funded through a grant to the Council of Literary Magazines and Presses.', 'Coffee House Press books are available to the trade through our primary distrib-', 'utor, Consortium Book Sales & Distribution, 1045 Westgate Drive, Saint Paul, MN', '55114. Our books are also available through all major library distributors and', 'jobbers, and through most small press distributors, including Bookpeople, In-']"
